package,component,fname,dep_type
AcademicThemes,scale,scale_colour_academic_c,imports
AcademicThemes,scale,scale_colour_academic_d,imports
AcademicThemes,scale,scale_fill_academic_c,imports
AcademicThemes,scale,scale_fill_academic_d,imports
add2ggplot,theme,theme_classic2,imports
add2ggplot,theme,theme_du_bois,imports
add2ggplot,theme,theme_grey_and_red,imports
add2ggplot,theme,theme_ilo,imports
add2ggplot,theme,theme_white,imports
afcharts,scale,scale_colour_continuous_af,imports
afcharts,scale,scale_colour_discrete_af,imports
afcharts,scale,scale_fill_continuous_af,imports
afcharts,scale,scale_fill_discrete_af,imports
afcharts,theme,theme_af,imports
agricolaeplotr,theme,theme_gi,imports
agricolaeplotr,theme,theme_poster,imports
agricolaeplotr,theme,theme_pres,imports
AgroReg,stat,stat_param,imports
aRtsy,theme,theme_canvas,imports
autograph,geom,geom_point,imports
autograph,geom,geom_smooth,imports
autograph,scale,scale_color_centres,imports
autograph,scale,scale_color_ethz,imports
autograph,scale,scale_color_iheid,imports
autograph,scale,scale_color_rug,imports
autograph,scale,scale_color_sdgs,imports
autograph,scale,scale_color_uzh,imports
autograph,scale,scale_colour_centres,imports
autograph,scale,scale_colour_ethz,imports
autograph,scale,scale_colour_hue,imports
autograph,scale,scale_colour_iheid,imports
autograph,scale,scale_colour_rug,imports
autograph,scale,scale_colour_sdgs,imports
autograph,scale,scale_colour_uzh,imports
autograph,scale,scale_edge_color_centres,imports
autograph,scale,scale_edge_color_ethz,imports
autograph,scale,scale_edge_color_iheid,imports
autograph,scale,scale_edge_color_rug,imports
autograph,scale,scale_edge_color_sdgs,imports
autograph,scale,scale_edge_color_uzh,imports
autograph,scale,scale_edge_colour_centres,imports
autograph,scale,scale_edge_colour_ethz,imports
autograph,scale,scale_edge_colour_iheid,imports
autograph,scale,scale_edge_colour_rug,imports
autograph,scale,scale_edge_colour_sdgs,imports
autograph,scale,scale_edge_colour_uzh,imports
autograph,scale,scale_fill_centres,imports
autograph,scale,scale_fill_ethz,imports
autograph,scale,scale_fill_iheid,imports
autograph,scale,scale_fill_rug,imports
autograph,scale,scale_fill_sdgs,imports
autograph,scale,scale_fill_uzh,imports
autograph,scale,scale_size,imports
autograph,scale,scale_x_continuous,imports
autograph,theme,theme_grey,imports
barrel,stat,stat_barrel,imports
barrel,stat,stat_barrel_annotate,imports
barrel,stat,stat_barrel_arrows,imports
barrel,stat,stat_barrel_centroid,imports
bayesplot,facet,facet_bg,imports
bayesplot,facet,facet_text,imports
bayesplot,theme,theme_default,imports
BayesTools,geom,geom_prior,imports
BayesTools,geom,geom_prior_list,imports
bdscale,scale,scale_x_bd,imports
beezdemand,theme,theme_apa,imports
bigstatsr,theme,theme_bigstatsr,imports
BioTIMEr,scale,scale_color_biotime,imports
BioTIMEr,scale,scale_colour_biotime,imports
BioTIMEr,scale,scale_fill_biotime,imports
BioVizSeq,geom,geom_rrect,imports
BiVariAn,theme,theme_serene,imports
BiVariAn,theme,theme_serene_void,imports
braidReports,geom,geom_braid,depends
braidReports,geom,geom_braid_contour,depends
braidReports,geom,geom_braid_glass,depends
braidReports,geom,geom_braid_smooth,depends
braidReports,stat,stat_braid,depends
braidReports,stat,stat_braid_contour,depends
braidReports,stat,stat_braid_glass,depends
braidReports,stat,stat_braid_smooth,depends
braidReports,scale,scale_x_kappa,depends
braidReports,scale,scale_y_kappa,depends
brandr,scale,scale_brand,imports
brandr,scale,scale_color_brand_b,imports
brandr,scale,scale_color_brand_c,imports
brandr,scale,scale_color_brand_d,imports
brandr,scale,scale_colour_brand_b,imports
brandr,scale,scale_colour_brand_c,imports
brandr,scale,scale_colour_brand_d,imports
brandr,scale,scale_fill_brand_b,imports
brandr,scale,scale_fill_brand_c,imports
brandr,scale,scale_fill_brand_d,imports
brms,theme,theme_black,imports
brms,theme,theme_default,imports
brolgar,facet,facet_sample,imports
brolgar,facet,facet_strata,imports
broman,theme,theme_karl,imports
bruceR,theme,theme_bruce,imports
bupaR,scale,scale_color_continuous_bupaR,imports
bupaR,scale,scale_color_discrete_bupaR,imports
bupaR,scale,scale_color_gradient2_bupaR,imports
bupaR,scale,scale_color_gradient_bupaR,imports
bupaR,scale,scale_fill_continuous_bupaR,imports
bupaR,scale,scale_fill_discrete_bupaR,imports
bupaR,scale,scale_fill_gradient2_bupaR,imports
bupaR,scale,scale_fill_gradient_bupaR,imports
bvhar,geom,geom_eval,imports
callback,stat,stat_colsums,imports
callback,stat,stat_ecs,imports
callback,stat,stat_mcr,imports
callback,stat,stat_paired,imports
callback,stat,stat_raw,imports
callback,stat,stat_signif,imports
callback,stat,stat_tcs,imports
campfin,scale,scale_x_truncate,imports
campfin,scale,scale_x_wrap,imports
canadianmaps,geom,geom_cd,imports
canadianmaps,geom,geom_csd,imports
canadianmaps,geom,geom_fsa,imports
canadianmaps,geom,geom_hr,imports
canadianmaps,geom,geom_prov,imports
canadianmaps,geom,geom_reg,imports
canadianmaps,scale,scale_color_map,imports
canadianmaps,scale,scale_fill_map,imports
canadianmaps,coordinate,coord_transform,imports
canadianmaps,theme,theme_map,imports
canadianmaps,theme,theme_wallis,imports
cartographr,theme,theme_infomap,imports
cartographr,theme,theme_infomap_anton,imports
cartographr,theme,theme_infomap_barlow,imports
cartographr,theme,theme_infomap_cinzel,imports
cartographr,theme,theme_infomap_poppins,imports
cartographr,theme,theme_poster,imports
cartographr,theme,theme_poster_anton,imports
cartographr,theme,theme_poster_barlow,imports
cartographr,theme,theme_poster_cinzel,imports
cartographr,theme,theme_poster_poppins,imports
Certara.DarwinReporter,theme,theme_certara,imports
Certara.ModelResults,theme,theme_certara,imports
Certara.VPCResults,theme,theme_certara,imports
chameleon,scale,scale_color_chameleon,imports
chameleon,scale,scale_fill_chameleon,imports
ChauBoxplot,geom,geom_chau_boxplot,imports
chessboard,geom,geom_edges,imports
chessboard,geom,geom_neighbors,imports
chessboard,geom,geom_node,imports
childsds,scale,scale_colour_prs,imports
childsds,scale,scale_colour_uchu,imports
childsds,scale,scale_fill_prs,imports
childsds,scale,scale_fill_uchu,imports
chronochrt,geom,geom_chronochRt,imports
chronochrt,geom,geom_chronochRtImage,imports
chronochrt,theme,theme_chronochrt,imports
cinaR,scale,scale_rows,imports
CJIVE,scale,scale_loadings,imports
cmstatr,geom,geom_jitter_failure_mode,imports
cmstatr,stat,stat_esf,imports
cmstatr,stat,stat_normal_surv_func,imports
colormap,scale,scale_color_colormap,imports
colormap,scale,scale_fill_colormap,imports
ComplexUpset,geom,geom_venn_circle,imports
ComplexUpset,geom,geom_venn_label_region,imports
ComplexUpset,geom,geom_venn_label_set,imports
ComplexUpset,geom,geom_venn_region,imports
ComplexUpset,scale,scale_color_venn_mix,imports
ComplexUpset,scale,scale_fill_venn_mix,imports
ConFluxPro,scale,scale_min_median,imports
coursekata,scale,scale_discrete_coursekata,imports
coursekata,theme,theme_coursekata,imports
cowplot,theme,theme_cowplot,imports
cowplot,theme,theme_half_open,imports
cowplot,theme,theme_map,imports
cowplot,theme,theme_minimal_grid,imports
cowplot,theme,theme_minimal_hgrid,imports
cowplot,theme,theme_minimal_vgrid,imports
cowplot,theme,theme_nothing,imports
crayons,scale,scale_color_crayons,imports
crayons,scale,scale_colour_crayons,imports
crayons,scale,scale_fill_crayons,imports
crimeutils,scale,scale_color_crim,imports
crimeutils,scale,scale_fill_crim,imports
crimeutils,scale,scale_linetype_crim,imports
crimeutils,theme,theme_crim,imports
cry,theme,theme_cry,imports
cubble,geom,geom_glyph,imports
cubble,geom,geom_glyph_box,imports
cubble,geom,geom_glyph_line,imports
cytofan,geom,geom_fan,depends
cytofan,stat,stat_fan,depends
DALEX,theme,theme_default_dalex,imports
DALEX,theme,theme_drwhy,imports
DALEX,theme,theme_drwhy_vertical,imports
DALEX,theme,theme_ema,imports
DALEX,theme,theme_ema_vertical,imports
DALEX,theme,theme_vertical_default_dalex,imports
dartR.base,theme,theme_dartR,depends
DataVisualizations,stat,stat_pde_density,imports
dcurves,geom,geom_line,imports
