package,category,component
ABACUS,other,NA
ABHgenotypeR,other,NA
ACDm,other,NA
AFFECT,other,NA
AFR,other,NA
AFheritability,other,NA
AHPGaussian,other,NA
AHPWR,other,NA
AID,other,NA
AIPW,other,NA
AMPLE,other,NA
ANN2,other,NA
ANOFA,other,NA
ANOM,other,NA
ANOPA,other,NA
ANOVAIREVA,other,NA
APCI,other,NA
APCtools,other,NA
APIS,other,NA
APRScenario,other,NA
APTIcalc,other,NA
APackOfTheClones,other,NA
AQEval,other,NA
ARCensReg,other,NA
ARCokrig,other,NA
ARDL,other,NA
ASML,other,NA
ASRgenomics,other,NA
ATE.ERROR,other,NA
ATQ,other,NA
AVGAS,other,NA
AcademicThemes,in grammar,Scale
AccelStab,other,NA
AcceptReject,other,NA
ActivePathways,other,NA
AdIsMF,other,NA
AdsorpR,other,NA
AdverseEvents,other,NA
AeRobiology,other,NA
AeroSampleR,other,NA
AgeBandDecomposition,other,NA
AgePopDenom,other,NA
AgeTopicModels,other,NA
AgroR,other,NA
AgroReg,in grammar,Layer (Geom/Stat)
AgroTech,other,NA
AlphaPart,other,NA
AmpliconDuo,other,NA
Anaconda,other,NA
Analitica,other,NA
AnanseSeurat,other,NA
AnglerCreelSurveySimulation,other,NA
AnimalSequences,other,NA
AnnoProbe,other,NA
AquaticLifeHistory,other,NA
Athlytics,other,NA
AudioScatter,other,NA
AutoAds,other,NA
AutoScore,other,NA
AvInertia,other,NA
BACCT,other,NA
BAwiR,other,NA
BBEST,other,NA
BCClong,other,NA
BCEA,other,NA
BDEsize,other,NA
BDgraph,other,NA
BEKKs,other,NA
BETS,other,NA
BElikelihood,other,NA
BFF,other,NA
BGGM,other,NA
BGPhazard,other,NA
BIDistances,other,NA
BIGL,other,NA
BIOMASS,other,NA
BKTR,other,NA
BLRShiny,other,NA
BLRShiny2,other,NA
BMEmapping,other,NA
BNPdensity,other,NA
BNPmix,other,NA
BNSP,other,NA
BOLDconnectR,other,NA
BOP2FE,other,NA
BREADR,other,NA
BRcal,other,NA
BSL,other,NA
BSPBSS,other,NA
BSTFA,other,NA
BSTZINB,other,NA
BTSPAS,other,NA
BTdecayLasso,other,NA
BVARverse,other,NA
BasketballAnalyzeR,other,NA
BayesCTDesign,other,NA
BayesCVI,other,NA
BayesChange,other,NA
BayesERtools,other,NA
BayesFBHborrow,other,NA
BayesFM,other,NA
BayesGrowth,other,NA
BayesMallows,other,NA
BayesMortalityPlus,other,NA
BayesMultiMode,other,NA
BayesPostEst,other,NA
BayesPower,other,NA
BayesRS,other,NA
BayesSIM,other,NA
BayesSenMC,other,NA
BayesSurvival,other,NA
BayesSurvive,other,NA
BayesTools,in grammar,Layer (Geom/Stat)
BayesianFitForecast,other,NA
BayesianMCPMod,other,NA
BayesianPlatformDesignTimeTrend,other,NA
BayesianReasoning,other,NA
Bchron,other,NA
BeeBDC,other,NA
BeeGUTS,other,NA
Bernadette,other,NA
BetaPASS,other,NA
BeyondBenford,other,NA
BiVariAn,in grammar,Theme
BinarybalancedCut,other,NA
BioM2,other,NA
BioPET,other,NA
BioPETsurv,other,NA
BioPred,other,NA
BioStatR,other,NA
BioTIMEr,in grammar,Scale
BioVizSeq,in grammar,Layer (Geom/Stat)
BiodiversityR,other,NA
BiostatsUHNplus,other,NA
Blend,other,NA
BlueCarbon,other,NA
BoneDensityMapping,other,NA
BoundaryStats,other,NA
BrazilCrime,other,NA
BuyseTest,other,NA
C443,other,NA
CA3variants,other,NA
CAESAR.Suite,other,NA
CAISEr,other,NA
CALANGO,other,NA
CALF,other,NA
CARBayesST,other,NA
CAST,other,NA
CATAcode,other,NA
CAinterprTools,other,NA
CAvariants,other,NA
CB2,other,NA
CBASSED50,other,NA
CCI,other,NA
CEDA,other,NA
CFO,other,NA
CGNM,other,NA
CHOIRBM,other,NA
CIARA,other,NA
CICI,other,NA
CIMTx,other,NA
CINNA,other,NA
CIS.DGLM,other,NA
CIpostSelect,other,NA
CJIVE,in grammar,Scale
CLONETv2,other,NA
CLVTools,other,NA
CMMs,other,NA
CMTFtoolbox,other,NA
CMapViz,other,NA
CNAIM,other,NA
CNVScope,other,NA
COINr,other,NA
COMIX,other,NA
CORPlot,other,NA
CRABS,other,NA
CRE,other,NA
CRMetrics,other,NA
CRTgeeDR,other,NA
CRTspat,other,NA
CSHShydRology,other,NA
CSTools,other,NA
CSeQTL,other,NA
CTxCC,other,NA
CVglasso,other,NA
CalibratR,other,NA
CalibrationCurves,other,NA
CamelUp,other,NA
CardioCurveR,other,NA
CarletonStats,other,NA
CaseBasedReasoning,other,NA
CausCor,other,NA
CausalGPS,other,NA
CausalImpact,other,NA
